Combination_ID,Combination_Name,Selection_Idx,Crossover_Idx,Mutation_Idx,LocalSearch_Idx,Instance,BKS_Fitness,BKS_Vehicles,BKS_Distance,Best_Fitness,Best_Vehicles,Best_Distance,Is_Feasible,Total_Time,Time_To_Best,Num_Improvements,Longest_Stagnation
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_1,3786.9999999999995,20,2705.0,3786.3948728626624,20,2704.567766330473,True,60.04931139945984,23.180325746536255,14,36.868942737579346
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_2,3815.7,19,2765.0,4145.697341055158,20,2961.21238646797,True,60.5156090259552,12.74699878692627,11,47.7685124874115
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_3,4191.52,17,3128.0,4201.20823427827,18,3089.123701675199,True,60.57285022735596,12.815303564071655,9,47.757455348968506
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_4,3608.6200000000003,17,2693.0,3819.6491892834842,18,2808.5655803555032,True,60.357606649398804,31.742483139038086,21,28.615029096603394
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_5,3782.7999999999997,20,2702.0,3782.868271758267,20,2702.0487655416196,True,60.83495092391968,4.909577131271362,4,55.9252655506134
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_6,3781.3999999999996,20,2701.0,3781.4495434217365,20,2701.0353881583833,True,61.67483830451965,10.916142225265503,11,50.75860786437988
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_7,3781.3999999999996,20,2701.0,3858.0402748128413,20,2755.743053437744,True,61.50054359436035,38.769446849823,14,27.869537830352783
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_8,4628.5199999999995,19,3354.0,3886.9426272668657,20,2776.3875909049043,True,60.79427742958069,16.311752557754517,13,44.48240900039673
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_9,3704.64,18,2724.0,4381.575370800737,19,3175.054616522273,True,60.32668399810791,44.8628830909729,14,34.13037085533142
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC1_2_10,3942.28,17,2942.0,4478.204268288534,20,3198.71733449181,True,60.02365589141846,59.52643537521362,21,9.844365358352661
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_1,2162.7200000000003,6,1931.0,2163.2156032919056,6,1931.4425029392014,True,62.495012044906616,3.9623758792877197,3,58.53258442878723
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_2,2106.7200000000003,6,1881.0,2284.9972253501655,7,2004.383531008917,True,63.713459968566895,8.323608160018921,10,55.389705657958984
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_3,2065.28,6,1844.0,2292.1705763825694,7,2010.675944195236,True,62.4400417804718,56.98114633560181,11,32.917136907577515
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_4,1979.0400000000002,6,1767.0,2236.0506467133073,6,1996.47379170831,True,61.665414810180664,48.26823687553406,17,13.397087335586548
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_5,2117.92,6,1891.0,2118.1540742294756,6,1891.208994847746,True,61.04173541069031,36.63098859786987,10,24.410675048828125
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_6,2080.96,6,1858.0,2081.563949838596,6,1858.5392409273175,True,64.10042953491211,14.791004657745361,5,49.309335231781006
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_7,2072.0,6,1850.0,2073.8553195094228,6,1851.65653527627,True,60.97370910644531,20.62967801094055,8,40.343966245651245
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_8,2042.88,6,1824.0,2096.92037964989,6,1872.2503389731157,True,64.44880819320679,41.53082990646362,12,22.91788935661316
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_9,2076.48,6,1854.0,2153.278274149901,7,1888.840591359562,True,60.12432146072388,23.04211688041687,8,37.082125663757324
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LC2_2_10,2035.0400000000002,6,1817.0,2037.969213731073,6,1819.6153694027437,True,60.12795853614807,32.0717134475708,11,28.05616569519043
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_1,6746.599999999999,20,4819.0,7350.715236687952,22,5104.663358811078,True,61.098639249801636,31.51307249069214,8,29.585471868515015
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_2,6192.14,17,4621.0,5938.419603280473,20,4241.728288057481,True,60.882874488830566,26.67362928390503,14,34.20913124084473
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_3,5634.56,14,4402.0,4851.445449776185,18,3567.239301306019,True,60.41369915008545,38.13373303413391,18,22.279880046844482
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_4,3632.4,10,3027.0,3785.594311911749,13,3004.43993008869,True,61.2348735332489,12.250212907791138,11,48.984506607055664
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_5,6283.200000000001,16,4760.0,6302.222659326411,19,4566.828014004646,True,60.75040531158447,38.232280254364014,11,24.762227535247803
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_6,6049.26,13,4801.0,5525.273438813512,18,4062.7010579511125,True,60.48264527320862,54.7267792224884,5,49.777897357940674
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_7,4393.32,12,3543.0,4292.749578401766,16,3252.0830139407312,True,60.36844086647034,60.006656885147095,16,34.83480668067932
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_8,3255.62,9,2759.0,3503.442122366571,12,2825.3565502956217,True,60.065521478652954,42.260340452194214,18,17.805120944976807
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_9,6364.26,13,5051.0,5696.390014777196,18,4188.522069689115,True,61.60623812675476,60.8980073928833,11,47.56760120391846
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR1_2_10,4470.08,11,3664.0,4665.53377316027,15,3588.872133200208,True,60.79641342163086,15.491352319717407,10,45.30493927001953
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_1,4480.3,5,4073.0,4734.6423973945475,6,4227.359283387988,True,66.18983936309814,61.104241132736206,8,32.35355019569397
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_2,4099.68,4,3796.0,4470.201201321816,6,3991.2510726087644,True,71.20652341842651,10.893280029296875,6,60.31316328048706
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_3,3345.84,4,3098.0,3364.6496585011,4,3115.4163504639814,True,68.59270095825195,45.984458208084106,17,22.60816979408264
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_4,2635.1600000000003,3,2486.0,2421.145478162757,4,2241.8013686692193,True,64.49327349662781,59.62124967575073,9,16.723677158355713
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_5,3713.0400000000004,4,3438.0,3867.5736265737546,4,3581.086691271995,True,65.09535026550293,51.667458295822144,10,13.992597818374634
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_6,4725.4800000000005,3,4458.0,3535.2024303706276,4,3273.3355836765068,True,62.74755811691284,50.15947961807251,12,20.011046171188354
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_7,3283.88,3,3098.0,3107.4806604204914,4,2877.296907796751,True,63.49161911010742,61.85559701919556,18,23.124310731887817
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_8,2546.96,2,2449.0,2281.6439561886177,4,2112.6332927672383,True,60.527321577072144,57.303621768951416,14,20.054824590682983
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_9,4157.320000000001,3,3922.0,3488.27456411791,4,3229.883855664731,True,71.84431862831116,19.84257936477661,8,52.00162148475647
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LR2_2_10,3450.3,3,3255.0,3058.986027005656,4,2832.3944694496813,True,61.3237419128418,18.7506844997406,6,42.572954416275024
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_1,4976.28,19,3606.0,5210.838901485408,20,3722.027786775292,True,60.222003698349,6.236506938934326,7,53.985353231430054
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_2,4772.3,15,3671.0,4667.95108472754,18,3432.316974064368,True,61.16332793235779,54.25701189041138,13,35.3282253742218
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_3,3975.3,13,3155.0,4513.026777250939,16,3418.9596797355593,True,60.44094681739807,10.087198972702026,8,50.35366201400757
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_4,3158.4,10,2632.0,3456.2320354283274,13,2743.04129795899,True,60.86421728134155,60.31257343292236,18,31.35864567756653
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_5,4905.12,16,3716.0,5575.808976612997,19,4040.4412874007226,True,60.897491455078125,60.11831879615784,25,17.00541615486145
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_6,4715.04,16,3572.0,4768.94918981767,17,3558.917305834082,True,60.6150381565094,9.302728414535522,9,51.312222480773926
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_7,4692.4800000000005,14,3666.0,4903.4418150504025,18,3605.4719228311787,True,61.32097411155701,6.331238269805908,7,54.98962688446045
combo_0,LS_Set2_50_50_OneShot,1,1,0,8,LRC1_2_8,3963.96,13,3146.0,4342.247227060542,16,3289.581232621623,True,61.626612424850464,56.08858871459961,19,25.455536365509033
