Instance,Size,BKS_Fitness,BKS_Distance,BKS_Vehicles,Memetic_Fitness,Memetic_Distance,Memetic_Vehicles,Memetic_TimeToFinal,Memetic_IsFeasible,ORTools_Fitness,ORTools_Distance,ORTools_Vehicles,ORTools_IsFeasible
LC2_4_3,400,4929.120000000001,4401.0,12,5313.46296916173,4660.932429089236,14,550.0305919647217,True,5942.6742636024,5122.995054829656,16,True
LC2_4_4,400,,,,6055.709950365659,5312.026272250578,14,276.7293086051941,True,6344.619443116031,5565.455651856167,14,True
LC2_4_5,400,4514.72,4031.0,12,5054.566818124329,4473.067980641,13,551.7053301334381,True,5570.690780217305,4844.078939319395,15,True
LC2_4_6,400,4368.0,3900.0,12,5334.7526229742525,4679.607564012502,14,522.3106198310852,True,5594.832495243555,4865.071734994396,15,True
LC2_4_7,400,4438.56,3963.0,12,5108.337444113846,4520.652605410483,13,211.38659930229187,True,5225.806492171153,4584.040782606274,14,True
LC2_4_8,400,4305.280000000001,3844.0,12,4790.526057751268,4239.403590930327,13,473.9766457080841,True,5361.4895166786755,4703.060979542697,14,True
LC2_4_9,400,4691.68,4189.0,12,5877.024771198045,5155.284887015828,14,523.2598104476929,True,5773.869382877983,5020.75598511129,15,True
LC2_4_10,400,4287.360000000001,3828.0,12,5101.235971525254,4514.368116394031,13,296.81851959228516,True,5185.876747868518,4549.014691112734,14,True
LR1_4_1,400,14895.999999999998,10640.0,40,17282.75615688881,11837.50421704713,46,177.30398988723755,True,16789.11180533568,11823.318172771607,42,True
LR1_4_2,400,14313.0,11010.0,30,14348.89546522222,10473.646324979722,37,162.1743836402893,True,14140.971908888992,10321.877305758388,37,True
LR1_4_3,400,11278.9,9245.0,22,11676.278924968985,8913.190019060294,31,161.84116506576538,True,11514.439193683505,8857.26091821808,30,True
LR1_4_4,400,8059.2,7008.0,15,9075.263472070863,7438.7405508777565,22,47.375977993011475,True,8690.522035115335,7123.378717307652,22,True
LR1_4_5,400,14558.720000000001,11374.0,28,14116.735950508615,10456.841444821195,35,265.0726058483124,True,14837.271882844032,10909.758737385318,36,True
LR1_4_6,400,13940.82,11334.0,23,13384.42634805486,10139.71693034459,32,224.82816672325134,True,12498.923442504083,9468.881395836426,32,True
LR1_4_7,400,10236.5,8675.0,18,10580.064092514696,8330.759127964327,27,130.92807865142822,True,10603.092964292511,8415.153146263898,26,True
LR1_4_8,400,6966.449999999999,6165.0,13,7988.914378317464,6657.428648597887,20,138.91940259933472,True,8228.408764623315,6857.007303852763,20,True
LR1_4_9,400,12225.16,9859.0,24,13515.259767015008,10238.83315682955,32,238.56532096862793,True,13292.610578107378,10147.030975654487,31,True
LR1_4_10,400,9831.6,8193.0,20,10756.013656355359,8469.302091618392,27,156.2559313774109,True,10934.852125818383,8610.119784108963,27,True
