Combination_ID,Selection_Idx,Crossover_Idx,Mutation_Idx,LocalSearch_Idx,Instance,BKS_Fitness,BKS_Vehicles,Best_Fitness,Best_Vehicles,Best_Distance,Is_Feasible,Total_Time,Time_To_Best,Num_Improvements,Longest_Stagnation
combo_0,0,0,0,0,lc101,1160.6,10,1160.511613719967,10,828.9368669428337,True,60.28511023521423,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc102,1160.6,10,1160.5116137199673,10,828.9368669428338,True,60.1827495098114,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc103,1407.6,9,1159.0105788377905,10,827.8646991698504,True,61.06129240989685,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc104,1169.6,9,1146.0399771180334,10,818.5999836557382,True,60.94697690010071,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc105,1160.6,10,1160.511613719967,10,828.9368669428337,True,60.131771087646484,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc106,1160.6,10,1160.5116137199673,10,828.9368669428338,True,60.93941926956177,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc107,1160.6,10,1160.5116137199673,10,828.9368669428338,True,60.64672112464905,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc108,1156.3999999999999,10,1157.0148873174508,10,826.4392052267506,True,61.195053577423096,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc109,1361.36,9,1158.943258572759,10,827.8166132662566,True,60.68596577644348,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc201,663.0400000000001,3,662.5433434720816,3,591.5565566715013,True,60.150192737579346,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc202,663.0400000000001,3,662.5433434720816,3,591.5565566715013,True,60.381388425827026,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc203,661.9200000000001,3,662.1142559143073,3,591.1734427806314,True,60.38206481933594,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc204,661.9200000000001,3,668.3728318720863,3,596.7614570286485,True,60.92976212501526,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc205,659.6800000000001,3,659.5410781718344,3,588.8759626534236,True,61.53166151046753,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc206,658.5600000000001,3,659.1119906140601,3,588.4928487625536,True,60.51170372962952,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc207,658.5600000000001,3,658.880679997358,3,588.2863214262125,True,61.8857638835907,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lc208,658.5600000000001,3,662.6166081276881,3,591.6219715425786,True,60.274669885635376,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr101,2905.76,19,2905.4066616450796,19,1650.799239571068,True,60.998783349990845,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr102,2499.84,17,2499.1183270546658,17,1487.5704327706342,True,60.92768883705139,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr103,1965.3600000000001,13,1964.8667755364577,13,1292.6755102213538,True,61.156110763549805,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr104,1377.6799999999998,9,1493.7973496876698,10,1066.9981069197643,True,60.47097945213318,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr105,2148.12,14,2148.2931879400417,14,1377.1110179102832,True,60.5433669090271,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr106,1854.44,12,1853.872648317519,12,1252.616654268594,True,60.577242374420166,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr107,1555.3999999999999,10,1555.8384463562165,10,1111.3131759687262,True,60.61654090881348,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr108,1317.84,9,1317.7937858608357,9,968.9660190153205,True,60.56192946434021,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr109,1740.96,11,1855.006790550252,12,1253.382966588008,True,60.68543982505798,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr110,1622.6,10,1792.7650229554358,12,1211.3277182131324,True,60.023396492004395,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr111,1552.6,10,1552.4610226152104,10,1108.900730439436,True,60.94313144683838,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr112,1365.4399999999998,9,1365.1231170089493,9,1003.7669978006982,True,61.237884759902954,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr201,1453.4799999999998,4,1453.7514043481353,4,1253.233969265634,True,60.24923515319824,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr202,1341.7600000000002,3,1450.1193718544444,4,1250.1029067710729,True,61.105056285858154,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr203,1062.88,3,1068.4012076140611,3,953.9296496554117,True,61.61932682991028,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr204,916.9200000000001,2,999.9889870274528,3,892.8473098459399,True,60.26183581352234,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr205,1180.48,3,1180.500865911688,3,1054.0186302782927,True,61.57955241203308,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr206,1043.8400000000001,3,1043.4204878577468,3,931.625435587274,True,66.90159344673157,36.30737233161926,13,23.979509830474854
combo_0,0,0,0,0,lr207,975.24,2,1044.3667256217525,3,932.4702907337074,True,60.560349464416504,36.30737233161926,13,23.979509830474854
