Instance,Initialization,Mean_Initial_Fitness,Mean_Final_Fitness,Mean_Improvement_%,Std_Final_Fitness,Mean_Iterations,Mean_Time_Seconds,Mean_Acceptance_Rate,Mean_Num_Routes
lc101,random,52949.09401372677,1211.0714401140035,97.70960552420726,80.01983341660323,200.0,0.9250483274459839,0.196,25.0
lc101,greedy,1160.5116137199673,1160.5116137199673,0.0,0.0,200.0,0.8272942066192627,0.0,25.0
lc102,random,46932.83014752062,1178.3114217927155,97.48542982991026,53.39942421824405,200.0,0.8036962985992432,0.20350000000000001,25.0
lc102,greedy,1266.3615727865304,1174.2049585143973,7.277275009960182,20.916929679201637,200.0,0.6794538974761963,0.009000000000000001,25.0
lc103,random,41391.62778147867,1317.166271376306,96.81264256247286,123.56877627018645,200.0,0.8776475429534912,0.233,25.0
lc103,greedy,1623.9532136486746,1288.4890665571843,20.657254425315287,105.94572900376339,200.0,0.6380912303924561,0.03150000000000001,25.0
lc104,random,33611.20875299884,1335.5373849822824,95.99994686340817,195.2049168508676,200.0,0.6800396203994751,0.25050000000000006,25.0
lc104,greedy,1780.949772967874,1525.1175839473103,14.364930044839554,127.24258718303643,200.0,0.5908941268920899,0.06250000000000001,25.0
lc105,random,50821.58452540175,1191.883714455957,97.65124936168039,87.16490381727363,200.0,0.6930052042007446,0.22349999999999998,25.0
lc105,greedy,1160.5116137199673,1160.5116137199673,0.0,0.0,200.0,0.6931548833847045,0.0,25.0
lc106,random,49887.94429529516,1264.5005092620086,97.45925208263638,226.01209207665553,200.0,0.5497816562652588,0.21550000000000002,25.0
lc106,greedy,1721.9445248126717,1287.0601337794153,25.25542401434607,132.24322537857336,200.0,0.5974615335464477,0.052500000000000005,25.0
lc107,random,49417.88188434196,1265.8597002235863,97.42620814337023,242.23377819494772,200.0,0.7869247198104858,0.22549999999999998,25.0
lc107,greedy,1194.1274808791254,1163.873200435883,2.5335888276324483,10.084760147747442,200.0,0.3899463415145874,0.0045,25.0
lc108,random,48511.41714797951,1269.4050667719073,97.38259003735153,126.48718903941625,200.0,0.5622891664505005,0.24900000000000003,25.0
lc108,greedy,1198.0296856839925,1167.0215548130468,2.5882606450809402,14.004806453058691,200.0,0.4497307062149048,0.019,25.0
lc109,random,44393.64887686207,1352.0824198827345,96.94958196599295,96.50503349655216,200.0,0.5550431966781616,0.2245,25.0
lc109,greedy,1622.8722412689024,1335.565480220519,17.703596977155904,83.02371436686911,200.0,0.5235462427139282,0.0595,25.0
lc201,random,46468.37362013848,662.5433434720817,98.57039657867891,5.084229945850415e-14,200.0,1.7844029664993286,0.16899999999999998,25.0
lc201,greedy,662.5433434720817,662.5433434720817,0.0,0.0,200.0,2.489895153045654,0.0,25.0
