Combination_ID,Combination_Name,Selection_Idx,Crossover_Idx,Mutation_Idx,LocalSearch_Idx,Instance,BKS_Fitness,BKS_Vehicles,BKS_Distance,Avg_Fitness,Std_Fitness,Avg_Vehicles,Std_Vehicles,Avg_Distance,Std_Distance,Feasibility_Rate,Avg_Total_Time,Std_Total_Time,Avg_Time_To_Best,Std_Time_To_Best,Avg_Num_Improvements,Std_Num_Improvements,Avg_Longest_Stagnation,Std_Longest_Stagnation
combo_0,Baseline_Short,1,1,0,1,lc101,1160.6,10,829.0,1160.5116137199673,1.3127425272378462e-13,10.0,0.0,828.9368669428337,9.282491429618472e-14,1.0,60.49313489596049,0.12803195840205434,2.10810120900472,0.4718561162295926,4.0,0.816496580927726,58.384962479273476,0.38159915791935317
combo_0,Baseline_Short,1,1,0,1,lc102,1160.6,10,829.0,1160.5116137199673,0.0,10.0,0.0,828.9368669428337,1.1368683772161603e-13,1.0,60.839531898498535,0.48170917729996227,2.397779703140259,0.15342112508113323,6.333333333333333,0.9428090415820634,58.44166008631388,0.4298456246234272
combo_0,Baseline_Short,1,1,0,1,lc103,1407.6,9,1035.0,1159.0105788377905,1.8564982859236944e-13,10.0,0.0,827.8646991698506,1.3127425272378462e-13,1.0,60.58249553044637,0.5191611943583578,3.525285482406616,0.8099718430484539,6.333333333333333,0.4714045207910317,57.05713391304016,0.9840737877489156
combo_0,Baseline_Short,1,1,0,1,lc104,1169.6,9,860.0,1146.4355666725396,0.5594481131154198,10.0,0.0,818.8825476232427,0.399605795082481,1.0,60.760162671407066,0.14632211302415943,42.85840384165446,19.430554503854463,12.666666666666666,0.9428090415820634,35.12969175974528,7.453348777258498
combo_0,Baseline_Short,1,1,0,1,lc105,1160.6,10,829.0,1160.5116137199673,0.0,10.0,0.0,828.9368669428337,1.1368683772161603e-13,1.0,60.55480694770813,0.4282399527249122,2.629624048868815,0.3875120339473695,5.333333333333333,1.247219128924647,57.92509055137634,0.1797656961906584
combo_0,Baseline_Short,1,1,0,1,lc106,1160.6,10,829.0,1160.5116137199673,1.3127425272378462e-13,10.0,0.0,828.9368669428337,9.282491429618472e-14,1.0,60.77435723940531,0.37421278502552513,2.6624411741892495,0.43687480872478157,6.0,0.816496580927726,58.11182109514872,0.4129869717902935
combo_0,Baseline_Short,1,1,0,1,lc107,1160.6,10,829.0,1160.5116137199673,1.3127425272378462e-13,10.0,0.0,828.9368669428337,9.282491429618472e-14,1.0,60.393957455952965,0.2273097465177725,3.4084439277648926,0.6612872545712295,5.0,1.4142135623730951,56.98540631930033,0.437629517843186
combo_0,Baseline_Short,1,1,0,1,lc108,1156.3999999999999,10,826.0,1157.014887317451,2.9353815278586935e-13,10.0,0.0,826.4392052267507,1.4676907639293468e-13,1.0,60.4204645951589,0.19799633118078774,14.618812640508017,7.9578322428794905,9.333333333333334,1.699673171197595,45.801326831181846,7.799854076552557
combo_0,Baseline_Short,1,1,0,1,lc109,1361.36,9,1001.0,1158.9432585727593,0.0,10.0,0.0,827.8166132662567,0.0,1.0,60.97455453872681,0.46035282804743605,27.449351867039997,17.726130272914812,11.333333333333334,3.858612300930075,41.32066035270691,10.324812143880239
combo_0,Baseline_Short,1,1,0,1,lc201,663.0400000000001,3,592.0,662.5433434720816,0.0,3.0,0.0,591.5565566715013,0.0,1.0,62.65256770451864,1.2779536205030055,2.2349469661712646,0.22917495337503382,2.0,0.816496580927726,60.41753228505453,1.0649457606559212
