Combination_ID,Combination_Name,Selection_Idx,Crossover_Idx,Mutation_Idx,LocalSearch_Idx,Instance,BKS_Fitness,BKS_Vehicles,BKS_Distance,Best_Fitness,Best_Vehicles,Best_Distance,Is_Feasible,Total_Time,Time_To_Best,Num_Improvements,Longest_Stagnation
combo_0,Baseline_Short,1,1,0,1,LC1_2_1,3786.9999999999995,20,2705.0,3786.3948728626624,20,2704.567766330473,True,61.96433472633362,10.30456805229187,13,51.659690141677856
combo_0,Baseline_Short,1,1,0,1,LC1_2_2,3815.7,19,2765.0,4012.2074009238613,20,2865.8624292313298,True,60.31945180892944,28.59450078010559,16,31.724830627441406
combo_0,Baseline_Short,1,1,0,1,LC1_2_3,4191.52,17,3128.0,4052.4876141704035,18,2979.7703045370617,True,60.755553245544434,55.65072464942932,26,5.76701545715332
combo_0,Baseline_Short,1,1,0,1,LC1_2_4,3608.6200000000003,17,2693.0,4010.2515359297063,17,2992.7250268132134,True,62.25831723213196,61.178651094436646,24,10.863023281097412
combo_0,Baseline_Short,1,1,0,1,LC1_2_5,3782.7999999999997,20,2702.0,3782.868271758267,20,2702.0487655416196,True,60.043301820755005,29.864906311035156,15,30.17829155921936
combo_0,Baseline_Short,1,1,0,1,LC1_2_6,3781.3999999999996,20,2701.0,3781.4495434217365,20,2701.0353881583833,True,62.51442813873291,26.10157036781311,15,36.41268229484558
combo_0,Baseline_Short,1,1,0,1,LC1_2_7,3781.3999999999996,20,2701.0,3781.4495434217365,20,2701.0353881583833,True,61.12293219566345,28.167664527893066,14,32.95515584945679
combo_0,Baseline_Short,1,1,0,1,LC1_2_8,4628.5199999999995,19,3354.0,4304.417426867553,21,3031.279878075742,True,61.658528327941895,35.381086111068726,20,26.274836540222168
combo_0,Baseline_Short,1,1,0,1,LC1_2_9,3704.64,18,2724.0,4413.911520130058,20,3152.7939429500416,True,61.999754905700684,40.28807878494263,25,21.711559295654297
combo_0,Baseline_Short,1,1,0,1,LC1_2_10,3942.28,17,2942.0,4550.952605478812,20,3250.6804324848663,True,62.434096574783325,54.50065803527832,23,9.104403257369995
