Feature,Muted_Indices,Avg_Fitness,Std_Fitness,Min_Fitness,Max_Fitness,Degradation,Degradation_%
group_all_operator_features,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]",14166.424939339731,14149.959082669406,929.9165263378492,53113.54509803923,12179.6875520188,613.0496979494017
operator_TwoOptOperator_all,"[29, 30, 31]",8552.872533361766,12061.68528165996,662.5433434720817,47786.968980200814,6566.135146040835,330.49839339335716
operator_RouteEliminationOperator_all,"[26, 27, 28]",6228.708746503629,9883.621062653425,743.6333333333332,51789.0705882353,4241.9713591826985,213.51444766954822
operator_RouteEliminationOperator_application_rate,[26],6144.395858111499,10405.782774493853,742.7222222222222,48791.90588235294,4157.658470790569,209.27066140316987
group_all_solution_features,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3996.1126695283283,4830.274209860329,744.5263157894736,28841.024999999998,2009.3752822073975,101.13945079158113
operator_TwoOptOperator_application_rate,[29],2712.935330116153,3823.2416570986115,662.5433434720817,17708.061323439022,726.1979427952224,36.55228654927984
group_solution_efficiency,"[3, 4, 5, 6]",2480.023128250304,2783.2844459353028,757.8756366485791,15603.866666666667,493.28574092937333,24.828935322677832
total_distance_norm,[5],2179.8226583590963,2404.706622389339,660.5000721375449,16448.266666666666,193.0852710381655,9.718711303789199
customer_service_ratio,[4],2163.4777309208353,2450.2913312094934,662.5433434720817,15470.666666666666,176.74034359990446,8.896009343149005
operator_MergeOperator_all,"[35, 36, 37]",2158.717261198724,2504.8084553664366,662.5433434720817,15464.666666666666,171.97987387779312,8.656396913620476
num_requests_norm,[0],2132.054731563149,2534.625079999102,662.5433434720817,15871.733333333332,145.31734424221804,7.314371047205947
avg_route_distance_norm,[11],2113.97900166994,2544.911588679636,662.5433434720817,17739.800000000003,127.24161434900907,6.404551258814907
group_route_distance_stats,"[11, 12, 13]",2109.2620390070433,2293.637897039696,662.5433434720817,16259.866666666667,122.52465168611252,6.167128703977035
group_problem_features,"[0, 1, 2]",2074.1850400953,2290.656355688042,662.5433434720817,15240.133333333333,87.44765277436909,4.401570803088888
operator_RouteEliminationOperator_improvement_rate,[27],2052.2069426406724,2480.318541135866,617.1578947368421,17423.4,65.46955531974163,3.295330109432621
max_route_distance_norm,[12],2049.168658712905,2359.619029561615,662.5433434720817,15999.6,62.431271391974406,3.142401798566922
vehicle_capacity_norm,[1],2047.8723971918753,2340.1662096829846,662.5433434720817,16037.199999999999,61.13500987094449,3.0771560580225263
group_route_length_stats,"[7, 8, 9, 10]",2047.4835501201978,2341.7546753156907,662.5433434720817,16173.199999999999,60.74616279926704,3.057583915566306
operator_SwapBetweenOperator_all,"[32, 33, 34]",2047.1050297979332,2391.0221470352585,662.5433434720817,16142.266666666665,60.36764247700239,3.0385315574297795
max_route_length_norm,[8],2044.020074658351,2376.5673217655153,648.4210526315791,15780.4,57.28268733742016,2.883254108116651
group_all_route_features,"[7, 8, 9, 10, 11, 12, 13]",2032.4515912898073,2265.079018557237,662.5433434720817,15588.0,45.71420396887652,2.300968626282362
operator_CLSM2Operator_all,"[38, 39, 40]",2028.3424650955712,2324.031317474953,662.5433434720817,16724.93333333333,41.60507777464045,2.0941407777473766
operator_TwoOptOperator_acceptance_rate,[31],2026.8092064033292,2327.0792060854833,662.5433434720817,15827.733333333332,40.071819082398406,2.0169660740332835
operator_SwapBetweenOperator_application_rate,[32],2004.2491025086924,2359.645277934408,662.5433434720817,16311.999999999998,17.511715187761638,0.8814307970202231
num_vehicles_norm,[2],2001.9581210222168,2271.8952233306513,662.5433434720817,15827.733333333332,15.220733701286008,0.7661170418608175
operator_ReinsertOperator_acceptance_rate,[25],1999.968647978349,2355.781115841164,662.5433434720817,16232.199999999999,13.231260657418261,0.665979345929575
operator_ReinsertOperator_all,"[23, 24, 25]",1996.001171012589,2331.345173797195,662.5433434720817,16236.199999999999,9.263783691658318,0.4662812383145573
operator_RouteEliminationOperator_acceptance_rate,[28],1993.1266095809438,2351.326418868556,662.5433434720817,16274.0,6.389222260012957,0.3215936993378211
operator_CLSM3Operator_application_rate,[41],1992.6029862572589,2274.6985990075987,662.5433434720817,15827.733333333332,5.86559893632807,0.2952377588382576
operator_ReinsertOperator_application_rate,[23],1991.8707479620887,2242.6705932235304,662.5433434720817,15409.333333333334,5.1333606411578785,0.2583814385292309
operator_ReinsertOperator_improvement_rate,[24],1991.8036939592293,2300.5640755372124,662.5433434720817,15827.733333333332,5.066306638298556,0.25500635718797005
operator_CLSM2Operator_application_rate,[38],1991.4891635546019,2277.9649964804594,662.5433434720817,15631.333333333334,4.75177623367108,0.23917485340519715
operator_CLSM3Operator_acceptance_rate,[43],1990.9576854364361,2297.4141190287964,662.5433434720817,15827.733333333332,4.220298115505329,0.21242355141845412
operator_MergeOperator_acceptance_rate,[37],1990.6298570431888,2262.6411237556463,662.5433434720817,15663.333333333334,3.892469722258056,0.1959227096192598
operator_CLSM3Operator_improvement_rate,[42],1990.1372823007462,2297.866626896886,662.5433434720817,15827.733333333332,3.3998949798153717,0.17112956153707115
std_route_length_norm,[10],1989.0591954517822,2235.9346428884996,662.5433434720817,15353.6,2.321808130851423,0.11686537665565992
operator_CLSM2Operator_improvement_rate,[39],1988.4512968426002,2294.1639408180304,662.5433434720817,16593.6,1.7139095216693931,0.08626754258551304
operator_CLSM2Operator_acceptance_rate,[40],1988.1143781994406,2259.6125547276683,662.5433434720817,15844.4,1.3769908785097869,0.06930915415885071
operator_CLSM4Operator_application_rate,[44],1986.74919800998,2310.2454817235644,660.5000721375449,16269.599999999999,0.011810689049298162,0.0005944766089706804
BASELINE (no muting),,1986.7373873209308,2276.365721864846,662.5433434720817,15827.733333333332,0.0,0.0
operator_CLSM3Operator_all,"[41, 42, 43]",1986.5438983531567,2232.6511232302214,662.5433434720817,15827.733333333332,-0.19348896777410118,-0.00973903088596005
operator_MergeOperator_application_rate,[35],1985.4218351438283,2253.366105832571,662.5433434720817,15546.666666666666,-1.3155521771025178,-0.066216712158244
operator_MergeOperator_improvement_rate,[36],1985.0288142405818,2238.817318240183,662.5433434720817,15344.933333333334,-1.7085730803489696,-0.08599893932901423
operator_SwapBetweenOperator_improvement_rate,[33],1983.7546351348947,2256.864477295052,662.5433434720817,15580.0,-2.982752186036123,-0.15013318846625698
route_utilization,[3],1983.3349517259019,2238.2052943131184,662.5433434720817,15657.733333333332,-3.402435595028919,-0.17125744030100648
is_feasible,[6],1982.5979875670878,2273.754660680508,662.5433434720817,15827.733333333332,-4.1393997538430085,-0.2083516311848791
operator_TwoOptOperator_improvement_rate,[30],1981.5889752003993,2274.7166533608834,662.5433434720817,15827.733333333332,-5.148412120531475,-0.25913903636121677
min_route_length_norm,[9],1979.612592858775,2212.0351098301317,662.5433434720817,15243.6,-7.124794462155705,-0.35861782778263035
operator_SwapBetweenOperator_acceptance_rate,[34],1978.2259589960877,2237.3238420002335,662.5433434720817,15300.266666666668,-8.51142832484311,-0.42841234977314097
avg_route_length_norm,[7],1974.6819285004663,2178.2493037820195,662.5433434720817,15083.199999999999,-12.055458820464537,-0.6067967964664441
operator_CLSM4Operator_improvement_rate,[45],1973.5293180997367,2272.364314131325,662.5433434720817,15751.066666666666,-13.208069221194137,-0.6648120333107996
operator_CLSM4Operator_acceptance_rate,[46],1973.5229673176123,2273.820820732762,662.5433434720817,15775.733333333332,-13.214420003318537,-0.6651316921728582
operator_CLSM4Operator_all,"[44, 45, 46]",1973.0410137016293,2227.9545459632377,660.5000721375449,15146.933333333334,-13.69637361930154,-0.6893902388262185
std_route_distance_norm,[13],1928.1342121020523,2002.4158895821397,662.5433434720817,15453.333333333334,-58.603175218878505,-2.9497192529256986
