Instance,Initialization,Mean_Initial_Fitness,Mean_Final_Fitness,Mean_Improvement_%,Std_Final_Fitness,Mean_Iterations,Mean_Time_Seconds,Mean_Acceptance_Rate,Mean_Num_Routes
lc101,random,52733.49575088754,1262.093581881628,97.59243766610942,175.02300630849945,200.0,0.6269625663757324,0.19949999999999998,25.0
lc101,greedy,1160.5116137199673,1160.5116137199673,0.0,0.0,200.0,0.580004620552063,0.0,25.0
lc102,random,46475.34254112163,1190.7632302587153,97.42158086100687,90.75484961624328,200.0,0.6791947364807129,0.2145,25.0
lc102,greedy,1255.776576879874,1160.5116137199673,7.558498132897581,0.0,200.0,0.7955592632293701,0.009999999999999998,25.0
lc103,random,39703.68505539276,1495.8847178934052,96.20961612427371,336.54984506509,200.0,0.6535118341445922,0.215,25.0
lc103,greedy,1575.3521270139731,1276.5241958546637,18.925797879637024,115.53613906596121,200.0,0.6734642744064331,0.030500000000000006,25.0
lc104,random,32600.820863513152,1463.063187864841,95.4327851947197,171.5104332945174,200.0,0.6483856439590454,0.259,25.0
lc104,greedy,1772.0911276754236,1555.8282012751422,12.183732432749892,3.331831769962222,200.0,0.8385138988494873,0.053500000000000006,25.0
lc105,random,52297.67705577549,1234.3398667414203,97.64183789579022,125.51459672260543,200.0,0.6956524610519409,0.22700000000000004,25.0
lc105,greedy,1160.5116137199673,1160.5116137199673,0.0,0.0,200.0,0.653889799118042,0.0,25.0
lc106,random,49584.99111970364,1239.0747578398993,97.49622940491895,136.984165233315,200.0,0.9229882478713989,0.23149999999999998,25.0
lc106,greedy,1711.5949805561231,1208.6593123983648,29.371223828284247,73.58229789749701,200.0,0.7158510208129882,0.05399999999999999,25.0
lc107,random,47512.30800703985,1328.125142520397,97.20228048409467,286.2167660395226,200.0,0.6908138751983642,0.21200000000000002,25.0
lc107,greedy,1194.1274808791254,1160.5116137199673,2.815098697369387,0.0,200.0,0.5938928127288818,0.004999999999999999,25.0
lc108,random,47910.325736336046,1406.3570448051873,97.03784572303263,167.0432011623881,200.0,1.0182281017303467,0.22900000000000004,25.0
lc108,greedy,1195.0044872487088,1157.0148873174508,3.1744053563643786,0.0,200.0,0.5772637128829956,0.0225,25.0
lc109,random,44278.52056118473,1548.3901120921241,96.49095818142277,181.765928796514,200.0,0.6260236024856567,0.223,25.0
lc109,greedy,1598.9432329737153,1308.5875752989848,18.14042736581182,70.41851575229539,200.0,0.7818294525146484,0.06100000000000001,25.0
lc201,random,45110.18383698382,662.5433434720817,98.52924824244221,5.084229945850415e-14,200.0,1.1009390830993653,0.14450000000000002,25.0
lc201,greedy,662.5433434720817,662.5433434720817,0.0,0.0,200.0,0.9215932846069336,0.0,25.0
lc202,random,39524.14817866391,662.5433434720817,98.31413684185779,8.038873388460929e-14,200.0,1.0706805467605591,0.17049999999999998,25.0
lc202,greedy,1813.17547860302,685.7159677896872,62.18246979099369,50.77524614854641,200.0,0.9851321935653686,0.10650000000000001,25.0
lc203,random,33559.06028106295,779.7447076809534,97.65733131754692,83.66056227227598,200.0,0.7020465135574341,0.19549999999999998,25.0
lc203,greedy,981.1566213573475,745.6400282174081,24.003975309683163,60.54256305504214,200.0,0.8703066349029541,0.041,25.0
lc204,random,26630.719247897192,788.6261644889934,97.0081197113109,61.70409574624228,200.0,0.7934810876846313,0.23950000000000005,25.0
lc204,greedy,1020.9027084480962,787.4088147705847,22.874817593733354,35.151220272061494,200.0,0.8754273891448975,0.0905,25.0
lc205,random,42745.75171642172,735.3135420808514,98.26821726716526,71.87501117259234,200.0,0.7830804109573364,0.18,25.0
lc205,greedy,818.9803359934422,675.9293885060185,17.466957532490625,25.033557539608484,200.0,0.9800204515457154,0.037000000000000005,25.0
lc206,random,40894.06471362005,699.7090204485397,98.2844453233171,80.63498268561243,200.0,0.99716215133667,0.19,25.0
lc206,greedy,1037.6100097520134,699.0552919343622,32.63115226233552,46.61901576544434,200.0,0.6945935487747192,0.06100000000000001,25.0
lc207,random,40827.853743819476,687.9056212945684,98.3078361135778,55.5824613428141,200.0,1.1663835763931274,0.1765,25.0
lc207,greedy,817.8415236998962,669.6816165199709,17.948697748365365,0.4689296024087639,200.0,2.0761956214904784,0.03250000000000001,25.0
lc208,random,40415.34481324592,726.0145116329699,98.19831317207198,144.3657667116711,200.0,1.0020012140274048,0.16349999999999998,25.0
lc208,greedy,826.9538598928518,669.8247914660229,18.997647648783794,10.813263506851262,200.0,1.7252869606018066,0.033999999999999996,25.0
lr101,random,50471.719357422466,3195.6105511166897,93.66066847701532,159.05132993647698,200.0,0.4872146129608154,0.1605,25.0
lr101,greedy,3399.4433894952126,3126.2315346949604,8.030141639409567,84.80069980189819,200.0,0.47356998920440674,0.048,25.0
lr102,random,49092.25145119471,2890.9865528300384,94.09962710688352,203.9892323335788,200.0,0.5181107521057129,0.16999999999999998,25.0
lr102,greedy,3062.9937529287918,2734.3248291212735,10.730647102285074,24.201806907722272,200.0,0.6466721773147583,0.07749999999999999,25.0
lr103,random,40829.74162006604,2263.4853057252917,94.45612681326705,167.44469471470714,200.0,0.5640568017959595,0.20400000000000004,25.0
lr103,greedy,3078.6425439165178,2253.173573573047,26.82051346143421,188.73577748955222,200.0,0.5727881908416748,0.125,25.0
lr104,random,35081.64918907698,1817.0535131062097,94.79433235730195,64.61389906634851,200.0,0.6256577491760253,0.24050000000000002,25.0
lr104,greedy,2005.3805522617881,1795.218571303179,10.477934771589789,57.44753906774794,200.0,0.6399071693420411,0.072,25.0
lr105,random,48075.5555791105,2515.6166130529487,94.75707040616234,150.53760222855786,200.0,0.46336984634399414,0.211,25.0
lr105,greedy,2863.5222776587266,2479.4676099580615,13.381836189418522,83.00351309685779,200.0,0.42755465507507323,0.06800000000000002,25.0
lr106,random,42910.63063752169,2236.30363589455,94.78301059138066,148.72923625582916,200.0,0.509392523765564,0.2065,25.0
lr106,greedy,2675.9503195387074,2038.2250394547555,23.818951608217965,67.59420455965926,200.0,0.5303964614868164,0.11250000000000002,25.0
lr107,random,39738.82297848322,1940.0685905161124,95.08926445182863,146.2662378160809,200.0,0.5271811723709107,0.23200000000000004,25.0
lr107,greedy,2393.629335773016,1801.6549564208424,24.73017726837302,57.944678486946934,200.0,0.5532417297363281,0.11099999999999999,25.0
lr108,random,34645.02681663651,1654.4992725623906,95.2070101375781,144.91578336565763,200.0,0.5269102811813354,0.21600000000000003,25.0
lr108,greedy,1956.4311026913256,1461.1883422586698,25.311047916473928,41.1283303153155,200.0,0.5789072990417481,0.1065,25.0
lr109,random,46396.47966389655,2174.460012629537,95.29758972014729,140.58730267129104,200.0,0.47783570289611815,0.2375,25.0
lr109,greedy,2727.937924346227,2167.993362859414,20.540887207276178,120.61457983892325,200.0,0.5028943061828614,0.10700000000000001,25.0
lr110,random,40140.85319892461,2113.413036247087,94.72007006292975,121.66390583112377,200.0,0.5201777696609498,0.1945,25.0
lr110,greedy,2125.876267505974,1949.4042101593543,8.296279787081975,44.37463713376313,200.0,0.5731230974197388,0.064,25.0
lr111,random,43608.80174853687,1888.622439396401,95.65234802333399,155.12170475518536,200.0,0.4710507392883301,0.2415,25.0
lr111,greedy,2268.810238591947,1848.2342393439496,18.52603627462979,67.5178676577318,200.0,0.48188190460205077,0.08800000000000001,25.0
lr112,random,38265.49704663295,1778.9167928169427,95.3244185502293,87.71776403435022,200.0,0.4980864286422729,0.2645,25.0
lr112,greedy,2065.482700960087,1862.4583371326612,9.814422757862962,108.96141678271499,200.0,0.8025862693786621,0.08549999999999999,25.0
lr201,random,35444.31021453634,1757.3507471815221,95.03031306930626,159.63475713626258,200.0,0.8790596485137939,0.201,25.0
